STNF(s),STNF Length,STNF(s) alt,STNF alt Length,EQUAL WEAKEST,Lines
0.043601,7,0.000791,7,True,"[99, 57, 23, 355]"
0.008703,2,0.00081,2,True,"[257, 196, 125, 322]"
0.1359,8,0.001285,8,True,"[265, 102, 51, 314]"
0.15161,6,0.005532,6,True,"[198, 359, 149, 180]"
0.002636,4,0.000638,4,True,"[145, 336, 168, 111]"
0.062139,2,0.002329,2,True,"[39, 279, 129, 92]"
0.014073,4,0.001634,4,True,"[237, 192, 365, 196]"
0.006313,1,0.001107,1,True,"[284, 330, 62, 187]"
1.39292,3,0.005217,3,True,"[184, 267, 356, 149]"
0.031496,6,0.001517,6,True,"[61, 316, 141, 319]"
0.009505,1,0.00161,1,True,"[275, 195, 232, 81]"
0.000525,2,0.000225,2,True,"[324, 290, 323, 365]"
0.007634,9,0.000564,9,True,"[299, 267, 366, 198]"
0.011047,3,0.001456,3,True,"[123, 103, 240, 82]"
0.001911,2,0.000484,2,True,"[151, 369, 21, 273]"
0.144283,4,0.003017,4,True,"[40, 252, 218, 318]"
0.06151,2,0.004079,2,True,"[185, 276, 216, 78]"
0.327493,2,0.007607,2,True,"[8, 259, 176, 64]"
43.071959,4,0.006687,4,True,"[163, 341, 62, 354]"
0.055966,7,0.000789,7,True,"[204, 297, 245, 313]"
0.170941,15,0.001339,15,True,"[314, 24, 240, 225]"
0.036012,1,0.002196,1,True,"[236, 157, 64, 332]"
0.000133,1,0.000139,1,True,"[134, 334, 325, 284]"
0.007447,9,0.001453,9,True,"[337, 117, 315, 341]"
0.247547,2,0.003967,2,True,"[148, 274, 9, 62]"
0.501734,3,0.003533,3,True,"[93, 31, 334, 7]"
5.311173,3,0.003212,3,True,"[64, 138, 103, 309]"
0.028619,7,0.001378,7,True,"[250, 208, 348, 27]"
0.057451,2,0.00181,2,True,"[45, 266, 3, 286]"
2.379926,3,0.004508,3,True,"[44, 178, 313, 352]"
0.028174,7,0.001166,7,True,"[329, 119, 33, 237]"
0.04981,2,0.002654,2,True,"[268, 134, 186, 351]"
0.019695,2,0.002241,2,True,"[234, 197, 139, 145]"
0.00517,1,0.000748,1,True,"[262, 201, 318, 213]"
0.012666,2,0.001269,2,True,"[359, 276, 249, 167]"
0.000723,1,0.000701,1,True,"[223, 203, 207, 256]"
0.090421,2,0.005148,2,True,"[80, 175, 308, 340]"
0.013944,14,0.001122,14,True,"[346, 210, 88, 69]"
0.000906,2,0.000648,2,True,"[257, 158, 19, 161]"
0.017194,1,0.00124,1,True,"[199, 46, 134, 287]"
1.464748,6,0.007934,6,True,"[201, 163, 77, 125]"
12.922758,6,0.006906,6,True,"[276, 58, 163, 254]"
0.003115,1,0.001054,1,True,"[210, 278, 265, 85]"
0.001545,1,0.001769,1,True,"[65, 269, 62, 252]"
0.0016,8,0.000271,8,True,"[350, 191, 125, 192]"
0.030446,2,0.003829,2,True,"[169, 81, 157, 271]"
0.023172,4,0.002192,4,True,"[90, 176, 76, 69]"
0.026644,4,0.001583,4,True,"[118, 23, 49, 369]"
0.004643,4,0.001016,4,True,"[159, 157, 356, 332]"
0.234491,3,0.001826,3,True,"[122, 184, 255, 191]"
2.079936,12,0.002012,12,True,"[127, 224, 119, 54]"
0.003343,5,0.001114,5,True,"[352, 13, 194, 74]"
